pair common_neigh jaccard pref_attach adamic sp_3 class
0-717 0 0.0 162 0 7.0 0
0-718 1 0.008928571428571428 642 0.21859304439100327 56.0 0
0-719 0 0.0 570 0 19.0 0
0-720 0 0.0 912 0 34.0 0
0-721 0 0.0 504 0 16.0 0
0-722 1 0.01098901098901099 516 0.21859304439100327 62.0 0
0-723 1 0.014925373134328358 372 0.21859304439100327 50.0 0
0-724 1 0.004975124378109453 1176 0.21859304439100327 44.0 0
0-725 1 0.011494252873563218 492 0.21859304439100327 28.0 0
0-726 0 0.0 522 0 35.0 0
0-727 0 0.0 330 0 3.0 0
0-728 0 0.0 480 0 16.0 0
0-729 1 0.006578947368421052 882 0.21859304439100327 38.0 0
0-730 0 0.0 930 0 29.0 0
0-731 0 0.0 648 0 12.0 0
0-732 1 0.007194244604316547 804 0.21859304439100327 23.0 0
0-737 1 0.024390243902439025 216 0.21859304439100327 15.0 0
0-738 0 0.0 114 0 1.0 0
0-741 0 0.0 90 0 1.0 0
0-742 1 0.015384615384615385 360 0.21859304439100327 33.0 0
0-743 0 0.0 66 0 4.0 0
0-744 1 0.02 270 0.21859304439100327 37.0 0
0-745 0 0.0 354 0 7.0 0
0-746 1 0.015151515151515152 366 0.21859304439100327 28.0 0
0-747 1 0.02702702702702703 192 0.21859304439100327 31.0 0
0-748 1 0.010526315789473684 540 0.21859304439100327 41.0 0
0-749 1 0.014925373134328358 372 0.21859304439100327 34.0 0
0-750 2 0.012578616352201259 930 0.7767036709422505 94.0 0
0-751 1 0.006211180124223602 936 0.21859304439100327 47.0 0
0-752 1 0.038461538461538464 126 0.21859304439100327 23.0 0
0-753 1 0.01098901098901099 516 0.21859304439100327 55.0 0
0-754 0 0.0 378 0 3.0 0
0-755 0 0.0 36 0 2.0 0
0-756 0 0.0 162 0 6.0 0
0-758 0 0.0 372 0 2.0 0
0-759 0 0.0 390 0 4.0 0
0-760 0 0.0 102 0 1.0 0
0-761 1 0.005847953216374269 996 0.21859304439100327 65.0 0
0-762 1 0.006944444444444444 834 0.21859304439100327 57.0 0
0-763 0 0.0 780 0 22.0 0
0-764 1 0.010416666666666666 546 0.21859304439100327 36.0 0
0-765 0 0.0 324 0 42.0 0
0-766 0 0.0 246 0 22.0 0
0-767 1 0.009708737864077669 588 0.45511961331341866 35.0 0
0-768 0 0.0 588 0 27.0 0
0-769 1 0.017241379310344827 318 0.21859304439100327 36.0 0
0-770 0 0.0 1050 0 34.0 0
0-771 0 0.0 666 0 29.0 0
0-772 0 0.0 654 0 36.0 0
0-773 0 0.0 1182 0 43.0 0
0-774 0 0.0 1086 0 48.0 0
0-775 1 0.005714285714285714 1020 0.21859304439100327 61.0 0
0-776 0 0.0 558 0 24.0 0
0-777 0 0.0 1038 0 13.0 0
0-778 1 0.008547008547008548 672 0.21859304439100327 61.0 0
0-779 0 0.0 336 0 20.0 0
0-780 1 0.010752688172043012 528 0.21859304439100327 43.0 0
0-781 0 0.0 972 0 33.0 0
0-782 0 0.0 594 0 15.0 0
0-783 1 0.005847953216374269 996 0.21859304439100327 47.0 0
0-784 1 0.0072992700729927005 792 0.21859304439100327 34.0 0
0-785 0 0.0 576 0 13.0 0
0-786 0 0.0 600 0 18.0 0
0-787 0 0.0 744 0 24.0 0
0-788 1 0.008333333333333333 690 0.21859304439100327 44.0 0
0-789 1 0.00847457627118644 678 0.21859304439100327 55.0 0
0-790 0 0.0 132 0 2.0 0
0-791 0 0.0 138 0 1.0 0
0-792 0 0.0 48 0 1.0 0
0-793 0 0.0 108 0 2.0 0
0-794 0 0.0 390 0 32.0 0
0-797 0 0.0 36 0 1.0 0
0-798 1 0.010309278350515464 552 0.21859304439100327 32.0 0
0-800 0 0.0 114 0 1.0 0
0-801 1 0.037037037037037035 132 0.21859304439100327 20.0 0
0-803 0 0.0 324 0 7.0 0
0-804 0 0.0 66 0 1.0 0
0-806 0 0.0 168 0 4.0 0
0-807 0 0.0 66 0 1.0 0
0-808 0 0.0 264 0 7.0 0
0-810 0 0.0 30 0 1.0 0
0-813 0 0.0 36 0 1.0 0
0-814 0 0.0 474 0 7.0 0
0-815 0 0.0 126 0 10.0 0
0-819 0 0.0 474 0 5.0 0
0-820 0 0.0 750 0 33.0 0
0-822 0 0.0 318 0 24.0 0
0-824 0 0.0 42 0 1.0 0
0-826 0 0.0 618 0 18.0 0
0-828 0 0.0 78 0 3.0 0
0-834 1 0.010309278350515464 552 0.21859304439100327 66.0 0
0-838 0 0.0 426 0 5.0 0
0-842 0 0.0 60 0 1.0 0
0-844 0 0.0 156 0 9.0 0
0-845 0 0.0 138 0 2.0 0
0-846 0 0.0 60 0 2.0 0
0-847 0 0.0 18 0 1.0 0
0-861 0 0.0 36 0 2.0 0
0-863 0 0.0 324 0 9.0 0
0-868 0 0.0 66 0 1.0 0
0-877 0 0.0 48 0 1.0 0
0-879 0 0.0 84 0 1.0 0
0-881 0 0.0 912 0 19.0 0
0-894 0 0.0 258 0 5.0 0
0-900 0 0.0 582 0 8.0 0
0-905 0 0.0 42 0 1.0 0
0-910 0 0.0 258 0 16.0 0
0-912 0 0.0 132 0 3.0 0
0-917 0 0.0 306 0 2.0 0
0-919 0 0.0 72 0 2.0 0
0-921 0 0.0 24 0 1.0 0
0-922 0 0.0 12 0 1.0 0
0-925 0 0.0 18 0 1.0 0
0-926 0 0.0 576 0 9.0 0
